City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date - Time Reported
Hameenlinna,FI,61,68,42,0,8.05,07/13/2019 - 09:32 AM
Barcelos,BR,-0.97,86.32,59,11,5.46,07/13/2019 - 09:32 AM
Soe,ID,-9.86,66.65,92,63,7.07,07/13/2019 - 09:27 AM
Kota,IN,25.17,86.14,59,100,16.78,07/13/2019 - 09:32 AM
Waingapu,ID,-9.65,67.55,83,0,9.84,07/13/2019 - 09:27 AM
Valley City,US,46.92,69.8,100,40,3.36,07/13/2019 - 09:28 AM
Homer,US,59.64,55,87,40,1.59,07/13/2019 - 09:32 AM
Hamilton,BM,32.3,84,78,75,14.99,07/13/2019 - 09:27 AM
Cedar City,US,37.68,77,29,90,10.29,07/13/2019 - 09:32 AM
Lakatoro,VU,-16.11,77.68,77,56,8.59,07/13/2019 - 09:32 AM
Livingston,US,45.66,64,87,1,5.82,07/13/2019 - 09:32 AM
Sept-Iles,CA,50.2,55.99,93,90,13.87,07/13/2019 - 09:25 AM
Hervey Bay,AU,-25.3,60.8,41,83,8.05,07/13/2019 - 09:26 AM
Ojinaga,MX,29.57,78.8,47,1,1.72,07/13/2019 - 09:32 AM
Nara,ML,15.17,95.32,34,90,10.56,07/13/2019 - 09:32 AM
Marystown,CA,47.17,59.68,73,100,5.28,07/13/2019 - 09:32 AM
Ayagoz,KZ,47.96,71.2,52,0,22.48,07/13/2019 - 09:32 AM
Evensk,RU,61.92,52.3,89,5,0.36,07/13/2019 - 09:32 AM
Boende,CD,-0.28,83.26,72,61,2.19,07/13/2019 - 09:32 AM
Marica,BR,-22.92,78.8,73,0,5.82,07/13/2019 - 09:29 AM
Denpasar,ID,-8.65,77,78,20,12.75,07/13/2019 - 09:32 AM
The Valley,AI,18.22,86,69,40,17.22,07/13/2019 - 09:28 AM
Kavaratti,IN,10.57,83.57,76,77,12.75,07/13/2019 - 09:26 AM
Piombino,IT,42.93,89.01,61,20,3.36,07/13/2019 - 09:32 AM
Mount Isa,AU,-20.73,60.8,44,71,14.99,07/13/2019 - 09:27 AM
Hofn,IS,64.25,55.4,87,90,8.05,07/13/2019 - 09:26 AM
Vemalwada,IN,18.47,77.14,83,100,5.46,07/13/2019 - 09:32 AM
Kununurra,AU,-15.77,75.2,17,11,8.05,07/13/2019 - 09:32 AM
Antsohihy,MG,-14.88,81.1,57,61,6.69,07/13/2019 - 09:32 AM
Inhambane,MZ,-23.87,80.6,57,40,11.41,07/13/2019 - 09:26 AM
San Policarpo,PH,12.18,77.45,87,100,5.79,07/13/2019 - 09:28 AM
Mutis,CO,6.23,80.2,76,100,0.89,07/13/2019 - 09:32 AM
Gazojak,TM,41.19,101.98,8,0,13.56,07/13/2019 - 09:32 AM
Port Lincoln,AU,-34.72,54.77,67,77,15.79,07/13/2019 - 09:25 AM
Prince George,CA,53.92,57,93,20,4.7,07/13/2019 - 09:31 AM
San Ramon,BO,-13.27,78.8,83,40,4.7,07/13/2019 - 09:27 AM
Erdenet,MN,49.03,60.58,82,100,5.97,07/13/2019 - 09:32 AM
Pulandian,CN,39.4,73.4,88,40,4.47,07/13/2019 - 09:32 AM
Rohnert Park,US,38.34,60.01,100,90,1.21,07/13/2019 - 09:32 AM
Mazagao,BR,-0.12,78.8,100,75,5.82,07/13/2019 - 09:29 AM
Antofagasta,CL,-23.65,55.4,71,90,6.93,07/13/2019 - 09:27 AM
Okhotsk,RU,59.36,51.71,97,23,7.76,07/13/2019 - 09:27 AM
Jatiroto,ID,-7.61,66.7,94,0,2.64,07/13/2019 - 09:33 AM
Garachine,PA,8.06,81.64,73,99,3.56,07/13/2019 - 09:33 AM
Torbay,CA,47.66,61,77,75,9.17,07/13/2019 - 09:22 AM
Vammala,FI,61.34,66.99,42,0,8.05,07/13/2019 - 09:33 AM
San Cristobal,EC,-1.02,69.35,91,92,6.06,07/13/2019 - 09:26 AM
Yeppoon,AU,-23.13,59,58,60,2.24,07/13/2019 - 09:27 AM
Champerico,GT,14.3,73.4,88,40,0.89,07/13/2019 - 09:33 AM
Mago,RU,53.27,50.68,97,98,3.06,07/13/2019 - 09:33 AM
Lovozero,RU,68.01,52.3,69,75,8.77,07/13/2019 - 09:33 AM
Taitung,TW,22.76,82.4,88,0,3.36,07/13/2019 - 09:33 AM
Thoen,TH,17.61,74.08,89,100,2.71,07/13/2019 - 09:33 AM
Newtonmore,GB,57.07,64.99,77,75,8.05,07/13/2019 - 09:33 AM
Impfondo,CG,1.64,87.58,52,100,1.25,07/13/2019 - 09:33 AM
Gambela,ET,8.25,73.18,95,96,1.14,07/13/2019 - 09:33 AM
Killarney,CA,49.18,77,94,1,2.24,07/13/2019 - 09:33 AM
Sorong,ID,-0.86,73.36,85,100,8.34,07/13/2019 - 09:33 AM
Tuy Hoa,VN,13.08,78.76,74,4,5.26,07/13/2019 - 09:33 AM
Krasnyy Oktyabr,RU,56.12,62.2,55,100,4.38,07/13/2019 - 09:33 AM
Prince Rupert,CA,54.32,59,93,90,4.7,07/13/2019 - 09:30 AM
Peleduy,RU,59.63,63.95,71,48,4.74,07/13/2019 - 09:26 AM
Belogorsk,RU,50.92,68.09,84,87,2.64,07/13/2019 - 09:28 AM
Belmonte,BR,-26.84,63.23,81,34,1.32,07/13/2019 - 09:28 AM
Khakhea,BW,-24.69,76.24,10,0,6.53,07/13/2019 - 09:33 AM
Itatiaia,BR,-22.5,74.08,43,0,2.93,07/13/2019 - 09:33 AM
Samarai,PG,-10.62,73.49,95,100,5.41,07/13/2019 - 09:25 AM
Vestmannaeyjar,IS,63.44,53.6,100,90,6.93,07/13/2019 - 09:27 AM
Ampanihy,MG,-24.69,64.9,69,0,9.84,07/13/2019 - 09:33 AM
Pundaguitan,PH,6.37,79.12,80,100,7.27,07/13/2019 - 09:33 AM
College,US,64.86,61,87,90,1.99,07/13/2019 - 09:28 AM
Bilma,NE,18.69,100.49,20,5,4.59,07/13/2019 - 09:28 AM
Khorixas,NA,-20.37,88.66,7,0,8.57,07/13/2019 - 09:33 AM
Provideniya,RU,64.42,61.61,61,55,3.36,07/13/2019 - 09:25 AM
Riorges,FR,46.04,81,34,0,6.93,07/13/2019 - 09:33 AM
Waihi Beach,NZ,-37.4,57.99,86,100,1.01,07/13/2019 - 09:33 AM
Shanghai,CN,31.23,73.4,88,75,2.24,07/13/2019 - 09:28 AM
Aksarayskiy,RU,46.79,77,41,40,13.42,07/13/2019 - 09:33 AM
Cavarzere,IT,45.14,87.01,45,20,9.19,07/13/2019 - 09:33 AM
Presidente Medici,BR,-11.18,92.08,40,8,2.44,07/13/2019 - 09:33 AM
Rosarito,MX,27.04,82.4,54,75,8.05,07/13/2019 - 09:26 AM
Nizhnyaya Poyma,RU,56.16,63.1,62,92,1.9,07/13/2019 - 09:33 AM
Mednogorskiy,RU,43.92,58.42,91,34,2.8,07/13/2019 - 09:33 AM
Nuuk,GL,64.17,44.6,93,90,12.75,07/13/2019 - 09:27 AM
George,ZA,-33.96,62.6,72,20,6.93,07/13/2019 - 09:33 AM
Khed Brahma,IN,24.03,88.48,56,100,10,07/13/2019 - 09:33 AM
Sao Felix do Xingu,BR,-6.64,90.1,40,32,6.46,07/13/2019 - 09:33 AM
Nenjiang,CN,49.17,65.62,88,85,1.81,07/13/2019 - 09:33 AM
Najran,SA,17.54,100.4,12,40,9.17,07/13/2019 - 09:27 AM
Deder,ET,9.31,85.96,40,51,4.18,07/13/2019 - 09:33 AM
Nalhati,IN,24.29,83.44,81,100,3.42,07/13/2019 - 09:33 AM
Makakilo City,US,21.35,80.6,65,20,11.41,07/13/2019 - 09:25 AM
Taltal,CL,-25.41,50.81,73,65,2.44,07/13/2019 - 09:27 AM
Ambilobe,MG,-13.19,76.42,55,85,6.17,07/13/2019 - 09:33 AM
Kaeo,NZ,-35.1,61,88,100,11.01,07/13/2019 - 09:33 AM
Eyl,SO,7.98,90.64,35,58,19.13,07/13/2019 - 09:33 AM
Nyurba,RU,63.29,61.66,93,65,4.38,07/13/2019 - 09:33 AM
Yorkton,CA,51.21,60.8,87,1,4.7,07/13/2019 - 09:33 AM
Leningradskiy,RU,69.38,44.15,82,96,10.04,07/13/2019 - 09:26 AM
Kysyl-Syr,RU,63.9,68.86,69,58,1.57,07/13/2019 - 09:33 AM
Tahta,EG,26.77,107.6,18,0,23.04,07/13/2019 - 09:33 AM
Kautokeino,NO,69.01,57.47,45,100,4.25,07/13/2019 - 09:27 AM
Cangucu,BR,-31.39,57.2,93,90,11.41,07/13/2019 - 09:30 AM
Henties Bay,NA,-22.12,55.99,91,0,1.99,07/13/2019 - 09:24 AM
Quballat,TN,36.54,96.8,26,0,10.29,07/13/2019 - 09:33 AM
Guerrero Negro,MX,27.97,66.29,89,0,11.27,07/13/2019 - 09:26 AM
Porto de Moz,BR,-1.75,77.81,84,7,3.29,07/13/2019 - 09:28 AM
Arlit,NE,18.74,100.67,21,0,5.7,07/13/2019 - 09:27 AM
Dhanera,IN,24.51,89.74,53,100,19.28,07/13/2019 - 09:33 AM
Mareeba,AU,-16.99,60.8,82,0,3.36,07/13/2019 - 09:33 AM
Mende,FR,44.52,75.2,36,0,9.17,07/13/2019 - 09:33 AM
Robertsport,LR,6.75,77.63,88,93,13.15,07/13/2019 - 09:27 AM
Mindelo,CV,16.89,84.2,51,20,20.8,07/13/2019 - 09:33 AM
High Rock,BS,26.63,86,74,40,6.93,07/13/2019 - 09:33 AM
Sungaipenuh,ID,-2.08,74.8,97,94,1.45,07/13/2019 - 09:33 AM
Frankfort,ZA,-27.28,58.78,21,0,4.29,07/13/2019 - 09:33 AM
Seoul,KR,37.57,77,88,40,1.12,07/13/2019 - 09:23 AM
Mulanje,MW,-16.03,75.2,47,20,16.11,07/13/2019 - 09:33 AM
Tiarei,PF,-17.53,73.4,83,40,3.36,07/13/2019 - 09:23 AM
Longyearbyen,SJ,78.22,41,80,75,9.17,07/13/2019 - 09:25 AM
Barentu,ER,15.11,86.68,44,100,9.75,07/13/2019 - 09:33 AM
Rychvald,CZ,49.87,73.99,60,20,4.7,07/13/2019 - 09:33 AM
Puerto Carreno,CO,6.19,78.8,88,75,2.08,07/13/2019 - 09:31 AM
Tromso,NO,69.65,66.2,62,0,8.05,07/13/2019 - 09:33 AM
Yarmouth,CA,43.84,66.2,88,90,8.05,07/13/2019 - 09:30 AM
Nokaneng,BW,-19.66,79.66,9,0,8.16,07/13/2019 - 09:33 AM
Forestville,CA,48.74,59,100,90,6.93,07/13/2019 - 09:33 AM
Nakanojo,JP,36.61,73.99,95,100,1.43,07/13/2019 - 09:33 AM
Ivanteyevka,RU,55.97,66.2,55,40,11.18,07/13/2019 - 09:33 AM
Pyapon,MM,16.29,78.22,89,100,6.6,07/13/2019 - 09:33 AM
Oksovskiy,RU,62.61,56.44,75,40,5.59,07/13/2019 - 09:33 AM
Harper,LR,4.38,76.42,81,100,16.64,07/13/2019 - 09:33 AM
Kamaishi,JP,39.28,58.55,96,43,2.19,07/13/2019 - 09:27 AM
Gizo,SB,-8.1,82.18,81,61,12.95,07/13/2019 - 09:33 AM
Maltahohe,NA,-24.83,72.64,10,0,14.36,07/13/2019 - 09:33 AM
Sao Filipe,CV,14.9,73.13,82,38,16.69,07/13/2019 - 09:25 AM
Sault Sainte Marie,CA,46.49,66.2,82,75,8.05,07/13/2019 - 09:33 AM
Soller,ES,39.77,95,34,0,14.99,07/13/2019 - 09:33 AM
Dabakala,CI,8.36,83.08,64,92,5.03,07/13/2019 - 09:33 AM
Progreso,MX,20.25,65.8,70,74,0.76,07/13/2019 - 09:33 AM
Buraydah,SA,26.33,105.8,15,0,13.87,07/13/2019 - 09:27 AM
Banapur,IN,19.78,81.82,83,100,5.14,07/13/2019 - 09:33 AM
Constitucion,MX,23.99,62.01,100,20,3.36,07/13/2019 - 09:26 AM
Pachino,IT,36.72,82.4,61,20,18.34,07/13/2019 - 09:33 AM
Ambon,ID,-3.7,79,78,40,6.93,07/13/2019 - 09:29 AM
Costa Rica,BR,-22.06,77.68,42,95,7.47,07/13/2019 - 09:33 AM
Karlskoga,SE,59.33,71.6,40,0,3.36,07/13/2019 - 09:33 AM
Teguise,ES,29.06,80.6,57,20,20.8,07/13/2019 - 09:33 AM
High Prairie,CA,55.43,55.72,95,100,2.64,07/13/2019 - 09:33 AM
Sambava,MG,-14.27,67.96,85,88,3.56,07/13/2019 - 09:33 AM
Sisimiut,GL,66.94,41.5,87,100,12.75,07/13/2019 - 09:33 AM
Sioux Lookout,CA,50.1,64.4,72,20,5.82,07/13/2019 - 09:28 AM
Presidente Dutra,BR,-5.29,87.58,48,82,9.62,07/13/2019 - 09:33 AM
Koumra,TD,8.92,83.44,68,60,1.7,07/13/2019 - 09:33 AM
Chalus,IR,36.66,80.6,78,90,4.7,07/13/2019 - 09:33 AM
Gushi,CN,32.17,74.62,77,0,7.43,07/13/2019 - 09:33 AM
Jalu,LY,29.03,100.18,12,0,15.82,07/13/2019 - 09:33 AM
Sovetskiy,RU,56.76,65.98,86,5,6.6,07/13/2019 - 09:33 AM
Byron Bay,AU,-28.65,59,43,44,13.87,07/13/2019 - 09:25 AM
Prado,BR,-17.34,78.94,56,0,4.7,07/13/2019 - 09:33 AM
Oschatz,DE,51.3,77,72,75,8.05,07/13/2019 - 09:33 AM
Mortka,RU,59.33,80.92,57,70,8.86,07/13/2019 - 09:33 AM
Boissevain,CA,49.23,77,94,1,1.79,07/13/2019 - 09:33 AM
Jacareacanga,BR,-6.22,89.92,42,20,5.59,07/13/2019 - 09:33 AM
Farafangana,MG,-22.82,62.38,87,0,3.58,07/13/2019 - 09:33 AM
Manono,CD,-7.3,92.62,19,3,4.7,07/13/2019 - 09:33 AM
Carutapera,BR,-1.2,79.84,90,88,7.52,07/13/2019 - 09:33 AM
Hirara,JP,24.8,84.11,80,49,18.48,07/13/2019 - 09:28 AM
Babaeski,TR,41.43,79.12,40,96,11.77,07/13/2019 - 09:33 AM
Shenzhen,CN,22.54,86,84,0,15.66,07/13/2019 - 09:33 AM
Kisangani,CD,0.52,89.87,46,76,2.01,07/13/2019 - 09:26 AM
Acari,PE,-15.44,58.96,84,100,15.64,07/13/2019 - 09:33 AM
Novyy Urengoy,RU,66.08,60.58,57,96,9.8,07/13/2019 - 09:32 AM
Lagoa,PT,37.14,79,78,0,10.29,07/13/2019 - 09:27 AM
Honiara,SB,-9.43,75.2,100,40,4.92,07/13/2019 - 09:33 AM
Lerwick,GB,60.15,55.4,82,75,4.7,07/13/2019 - 09:33 AM
Cloquet,US,46.72,71.6,77,1,3.47,07/13/2019 - 09:33 AM
Quelimane,MZ,-17.88,78.8,57,75,11.41,07/13/2019 - 09:33 AM
Elizabethton,US,36.35,80.01,83,90,3.8,07/13/2019 - 09:33 AM
Abaza,RU,52.65,60.58,94,100,3.78,07/13/2019 - 09:33 AM
Hope,CA,49.38,60.01,87,1,4.7,07/13/2019 - 09:33 AM
Achit,RU,56.8,71.02,76,78,17.09,07/13/2019 - 09:33 AM
Savona,IT,44.31,89.01,62,20,14.99,07/13/2019 - 09:28 AM
Tessalit,ML,20.2,108.23,12,19,18.88,07/13/2019 - 09:26 AM
Obra,IN,24.47,87.76,60,100,13.27,07/13/2019 - 09:33 AM
Qitaihe,CN,45.77,60.76,97,100,4.07,07/13/2019 - 09:33 AM
Felipe Carrillo Puerto,MX,19.58,86.32,61,100,6.04,07/13/2019 - 09:30 AM
Santa Maria,CV,16.6,82.4,58,75,14.99,07/13/2019 - 09:28 AM
Kidal,ML,18.44,101.26,23,33,10.56,07/13/2019 - 09:33 AM
Lavrentiya,RU,65.58,56.03,56,56,5.32,07/13/2019 - 09:25 AM
Havre,US,48.55,64.99,71,1,12.48,07/13/2019 - 09:33 AM
Yanaul,RU,56.27,70.12,85,90,6.02,07/13/2019 - 09:33 AM
Broome,AU,-17.97,71.6,46,0,8.05,07/13/2019 - 09:26 AM
Staunton,US,38.15,81,83,1,3.36,07/13/2019 - 09:31 AM
Paamiut,GL,61.99,41.99,91,89,8.23,07/13/2019 - 09:26 AM
Olenegorsk,RU,68.14,43.66,96,100,5.14,07/13/2019 - 09:33 AM
San Jose,BO,-17.94,75.2,88,75,3.36,07/13/2019 - 09:33 AM
Luwuk,ID,-0.95,59.14,95,41,5.88,07/13/2019 - 09:33 AM
Kendari,ID,-3.99,69.58,95,12,1.88,07/13/2019 - 09:33 AM
Bandarbeyla,SO,9.49,92.44,33,20,20.6,07/13/2019 - 09:33 AM
Rochegda,RU,62.67,60.4,62,86,2.17,07/13/2019 - 09:33 AM
Atar,MR,20.52,100.4,17,0,13.87,07/13/2019 - 09:27 AM
Namatanai,PG,-3.66,77.63,79,85,2.8,07/13/2019 - 09:26 AM
Mersing,MY,2.43,76.24,90,67,1.79,07/13/2019 - 09:33 AM
Tura,RU,64.27,63.41,65,93,6.85,07/13/2019 - 09:28 AM
Sorland,NO,67.67,49.42,85,29,23.78,07/13/2019 - 09:33 AM
Dunedin,NZ,-45.87,51.01,72,100,8.99,07/13/2019 - 09:23 AM
Oskemen,KZ,49.96,80.6,54,34,11.18,07/13/2019 - 09:33 AM
Fare,PF,-16.7,76.6,81,2,4.79,07/13/2019 - 09:33 AM
Lekoni,GA,-1.58,83.98,50,98,3.18,07/13/2019 - 09:33 AM
Tazmalt,DZ,36.39,86,62,20,10.29,07/13/2019 - 09:33 AM
Ellensburg,US,47,69.01,55,1,13.87,07/13/2019 - 09:33 AM
Kirovskiy,RU,45.09,63.28,84,100,4.34,07/13/2019 - 09:33 AM
Port Macquarie,AU,-31.43,53.01,37,1,10.29,07/13/2019 - 09:27 AM
Ciudad Bolivar,VE,8.12,78.89,83,35,8.84,07/13/2019 - 09:28 AM
Karratha,AU,-20.74,68.63,25,0,4.83,07/13/2019 - 09:20 AM
Tres Arroyos,AR,-38.38,52.12,49,0,4.56,07/13/2019 - 09:33 AM
Nakhon Phanom,TH,17.41,84.2,94,0,2.06,07/13/2019 - 09:33 AM
Juneau,US,58.3,57,100,90,0.89,07/13/2019 - 09:33 AM
Varadero,CU,23.15,80.6,83,75,8.05,07/13/2019 - 09:33 AM
Spas-Demensk,RU,54.41,62.74,63,18,2.62,07/13/2019 - 09:33 AM
Tamandare,BR,-8.28,79.12,90,14,2.48,07/13/2019 - 09:33 AM
Barra do Garcas,BR,-15.89,78.8,50,0,2.28,07/13/2019 - 09:33 AM
Am Timan,TD,11.04,91.72,42,2,3.74,07/13/2019 - 09:33 AM
Changtu,CN,42.78,70.84,69,100,2.44,07/13/2019 - 09:33 AM
Puerto Baquerizo Moreno,EC,-0.9,68,100,40,13.87,07/13/2019 - 09:33 AM
Igarka,RU,67.47,51.94,77,99,13.18,07/13/2019 - 09:33 AM
Wellington,NZ,-41.29,59,82,83,25.28,07/13/2019 - 09:29 AM
Praya,ID,-8.71,71.6,78,40,8.05,07/13/2019 - 09:33 AM
Yerofey Pavlovich,RU,53.97,61.48,87,53,4.43,07/13/2019 - 09:33 AM
Coachella,US,33.68,91,29,1,3.36,07/13/2019 - 09:33 AM
Nanakuli,US,21.39,80.6,65,20,11.41,07/13/2019 - 09:33 AM
Isagarh,IN,24.84,87.4,56,100,15.3,07/13/2019 - 09:33 AM
Springbok,ZA,-29.67,65.8,51,0,10.54,07/13/2019 - 09:33 AM
Padang,ID,-0.92,83.93,74,1,8.75,07/13/2019 - 09:25 AM
Grass Valley,US,39.22,71.6,68,1,4.7,07/13/2019 - 09:33 AM
Kalavai,IN,12.77,87.58,48,71,6.44,07/13/2019 - 09:33 AM
Viedma,AR,-40.81,52.66,50,67,13.02,07/13/2019 - 09:33 AM
Soure,BR,-0.72,83.26,79,26,8.88,07/13/2019 - 09:33 AM
Beira,MZ,-19.84,77,53,20,10.29,07/13/2019 - 09:33 AM
Kuching,MY,1.56,75.2,100,75,1.12,07/13/2019 - 09:33 AM
Cheremukhovo,RU,56.23,66.88,84,100,2.86,07/13/2019 - 09:33 AM
Vicente Guerrero,MX,16.93,62.6,88,75,4.7,07/13/2019 - 09:33 AM
Batemans Bay,AU,-35.71,51.01,89,0,4,07/13/2019 - 09:33 AM
Panet,RO,46.56,68,64,40,5.82,07/13/2019 - 09:33 AM
Nago,JP,26.59,84.2,88,1,14.99,07/13/2019 - 09:33 AM
Tual,ID,-5.67,77.14,78,77,18.86,07/13/2019 - 09:33 AM
Dargaville,NZ,-35.94,60.76,83,100,25.68,07/13/2019 - 09:33 AM
Dom Pedrito,BR,-30.98,60.04,88,100,8.84,07/13/2019 - 09:33 AM
Waipawa,NZ,-39.94,55,71,100,8.01,07/13/2019 - 09:33 AM
Sumenep,ID,-7.02,72.1,79,2,7.7,07/13/2019 - 09:33 AM
Alofi,NU,-19.06,69.8,94,25,6.93,07/13/2019 - 09:26 AM
Kousseri,CM,12.08,95,41,40,3.36,07/13/2019 - 09:33 AM
Lagunas,PE,-5.23,86.32,57,0,1.83,07/13/2019 - 09:33 AM
Loknya,RU,54.21,62.38,75,39,5.17,07/13/2019 - 09:33 AM
Havelock,US,34.88,86,74,1,9.17,07/13/2019 - 09:26 AM
Miri,MY,4.41,75.2,88,75,4.7,07/13/2019 - 09:33 AM
Mont-de-Marsan,FR,43.89,82,57,75,5.82,07/13/2019 - 09:28 AM
Whitecourt,CA,54.14,55.4,82,20,3.36,07/13/2019 - 09:33 AM
Iquique,CL,-20.22,59,72,90,3.36,07/13/2019 - 09:33 AM
Port Blair,IN,11.67,84.2,74,40,10.29,07/13/2019 - 09:33 AM
Mayahi,NE,13.95,95.14,30,3,2.08,07/13/2019 - 09:33 AM
Mulege,MX,26.88,84.34,70,0,2.75,07/13/2019 - 09:33 AM
Plouzane,FR,48.38,75.2,64,75,14.99,07/13/2019 - 09:33 AM
Sol-Iletsk,RU,51.16,77.68,73,82,15.61,07/13/2019 - 09:33 AM
Bilokurakyne,UA,49.53,73.18,49,57,5.23,07/13/2019 - 09:33 AM
Auki,SB,-8.77,82.72,79,99,16.51,07/13/2019 - 09:33 AM
Sosnovo-Ozerskoye,RU,52.53,61.12,74,73,5.55,07/13/2019 - 09:33 AM
Vilyuysk,RU,63.75,67.96,79,38,5.14,07/13/2019 - 09:33 AM
Ocara,BR,-4.49,81.46,61,92,10.47,07/13/2019 - 09:33 AM
Newport,US,41.49,79,73,1,5.82,07/13/2019 - 09:30 AM
Tevaitoa,PF,-16.78,76.6,81,2,4.79,07/13/2019 - 09:33 AM
Manaure,CO,11.78,84.2,70,20,17.22,07/13/2019 - 09:33 AM
Waitati,NZ,-45.75,51.01,72,100,8.01,07/13/2019 - 09:33 AM
Ugoofaaru,MV,5.67,84.65,71,92,7.18,07/13/2019 - 09:28 AM
Careiro da Varzea,BR,-3.2,84.2,74,0,6.93,07/13/2019 - 09:33 AM
Agutaya,PH,11.15,78.4,86,100,8.66,07/13/2019 - 09:33 AM
Redmond,US,47.67,63,77,75,3.36,07/13/2019 - 09:33 AM
Naze,JP,28.37,82.4,94,20,11.41,07/13/2019 - 09:26 AM
Havre-Saint-Pierre,CA,50.23,53.6,100,90,16.11,07/13/2019 - 09:24 AM
Vrontados,GR,38.41,82.4,45,20,8.05,07/13/2019 - 09:33 AM
Riviere-au-Renard,CA,49,64.4,88,90,2.24,07/13/2019 - 09:33 AM
Matagami,CA,49.76,64.4,82,90,8.05,07/13/2019 - 09:33 AM
Ruidoso,US,33.33,79,45,1,0.49,07/13/2019 - 09:33 AM
Bonavista,CA,48.65,52.61,76,78,11.18,07/13/2019 - 09:27 AM
Bayeux,FR,49.28,72,56,20,9.17,07/13/2019 - 09:33 AM
Coquimbo,CL,-29.95,45,65,0,6.93,07/13/2019 - 09:26 AM
Blagoyevo,RU,63.37,66.52,39,62,2.24,07/13/2019 - 09:33 AM
Aksarka,RU,66.56,65.8,58,100,10.49,07/13/2019 - 09:33 AM
Minot,US,48.23,66,93,1,3.36,07/13/2019 - 09:30 AM
Klaksvik,FO,62.23,53.6,100,79,9.17,07/13/2019 - 09:27 AM
Pontes e Lacerda,BR,-15.23,91.18,30,41,3.58,07/13/2019 - 09:33 AM
Jefferson City,US,38.58,78.01,78,1,2.3,07/13/2019 - 09:29 AM
Egra,IN,21.9,87.71,68,96,17.45,07/13/2019 - 09:29 AM
Jiuquan,CN,39.73,66.52,39,37,3.87,07/13/2019 - 09:33 AM
Chopinzinho,BR,-25.86,69.94,70,97,3.42,07/13/2019 - 09:33 AM
Kailua,US,21.39,80.6,88,75,6.93,07/13/2019 - 09:25 AM
Vanimo,PG,-2.67,82.9,71,2,5.3,07/13/2019 - 09:33 AM
Leo,BF,11.1,87.35,53,91,12.44,07/13/2019 - 09:27 AM
Buchanan,LR,5.88,77,94,75,6.93,07/13/2019 - 09:25 AM
Mandalgovi,MN,45.76,76.01,36,11,11.05,07/13/2019 - 09:26 AM
Williston,US,48.15,70,88,1,4.7,07/13/2019 - 09:34 AM
Shakhtinsk,KZ,49.71,82.4,28,0,15.66,07/13/2019 - 09:34 AM
Mayor Pablo Lagerenza,PY,-19.93,85.42,41,58,1.36,07/13/2019 - 09:34 AM
Liverpool,CA,44.04,69.01,90,48,1.01,07/13/2019 - 09:34 AM
Kloulklubed,PW,7.04,77,88,90,14.99,07/13/2019 - 09:26 AM
Brookings,US,44.31,71.6,78,75,11.41,07/13/2019 - 09:30 AM
Portland,AU,-33.35,42.01,78,41,17,07/13/2019 - 09:26 AM
Odessa,US,31.85,75,64,1,4.7,07/13/2019 - 09:31 AM
Matadi,CD,-5.83,85.96,46,52,5.44,07/13/2019 - 09:34 AM
Young,UY,-32.7,53.01,82,0,3,07/13/2019 - 09:34 AM
Parana,AR,-31.73,57,73,0,3,07/13/2019 - 09:33 AM
Dodoma,TZ,-6.18,80.6,34,20,11.41,07/13/2019 - 09:34 AM
Walvis Bay,NA,-22.95,77,53,0,5.82,07/13/2019 - 09:27 AM
Baykit,RU,61.68,57.88,97,100,2.71,07/13/2019 - 09:34 AM
Tabou,CI,4.42,74.93,89,98,7.58,07/13/2019 - 09:28 AM
Zabid,YE,14.2,76.06,56,79,12.73,07/13/2019 - 09:34 AM
Lumby,CA,50.25,63,82,1,2.24,07/13/2019 - 09:34 AM
Shitanjing,CN,39.23,78.01,28,84,5.01,07/13/2019 - 09:34 AM
Cariamanga,EC,-4.33,68,64,40,4.7,07/13/2019 - 09:34 AM
Elizabeth City,US,36.3,87.01,74,1,8.05,07/13/2019 - 09:34 AM
Charters Towers,AU,-20.07,61.25,55,100,10.4,07/13/2019 - 09:27 AM
Flinders,AU,-34.58,51.01,69,0,18.34,07/13/2019 - 09:26 AM
Saldanha,ZA,-33.01,64.4,63,0,3.36,07/13/2019 - 09:25 AM
Lensk,RU,60.71,63.95,83,100,1.7,07/13/2019 - 09:26 AM
Pitsunda,GE,43.16,77,53,40,8.95,07/13/2019 - 09:34 AM
Ulaangom,MN,49.98,69.89,49,28,6.44,07/13/2019 - 09:27 AM
Katangli,RU,51.71,48.52,96,100,13.22,07/13/2019 - 09:34 AM
Zhicheng,CN,35.04,83.26,36,0,6.96,07/13/2019 - 09:34 AM
Ratangarh,IN,28.07,97.3,37,0,24.72,07/13/2019 - 09:34 AM
Lubana,LV,56.9,63.28,61,94,4.81,07/13/2019 - 09:34 AM
Eureka,US,40.8,59,93,90,14.52,07/13/2019 - 09:27 AM
Caravelas,BR,-17.73,73.67,70,0,2.77,07/13/2019 - 09:27 AM
Kozhva,RU,65.11,57.34,95,100,4.63,07/13/2019 - 09:34 AM
Tuatapere,NZ,-46.13,46,96,100,1.99,07/13/2019 - 09:28 AM
Nouadhibou,MR,20.93,78.8,61,0,14.99,07/13/2019 - 09:25 AM
Ekhabi,RU,53.51,47.08,94,13,12.01,07/13/2019 - 09:34 AM
Karasjok,NO,69.47,55.4,58,0,16.11,07/13/2019 - 09:34 AM
